Time,People In,People Out,People Inside
2024-03-20 08:15:41,2,4,-2
2024-03-20 08:15:46,4,5,-1
2024-03-20 08:15:51,5,6,-1
2024-03-20 08:15:56,8,6,2
2024-03-20 08:16:01,10,9,1
2024-03-20 08:16:06,11,9,2
2024-03-20 08:16:11,12,13,-1
2024-03-20 08:16:16,13,19,-6
2024-03-20 08:16:21,13,19,-6
2024-03-20 08:16:26,13,22,-9
2024-03-20 08:16:31,13,24,-11
2024-03-20 08:16:36,14,26,-12
2024-03-20 08:16:41,15,28,-13
2024-03-20 08:16:46,15,33,-18
2024-03-20 08:16:51,16,35,-19
2024-03-20 08:16:56,17,37,-20
2024-03-20 08:17:01,18,39,-21
2024-03-20 08:17:06,23,40,-17
2024-03-20 08:17:11,24,41,-17
2024-03-20 08:17:16,27,42,-15
2024-03-20 08:17:22,30,45,-15
2024-03-20 08:17:27,31,47,-16
2024-03-20 08:17:32,31,47,-16
2024-03-20 08:17:37,31,53,-22
2024-03-20 08:17:42,31,54,-23
2024-03-20 08:18:34,1,3,-2
2024-03-20 08:18:39,3,9,-6
2024-03-20 08:18:44,3,14,-11
2024-03-20 08:18:49,3,17,-14
2024-03-20 08:18:54,4,18,-14
2024-03-20 08:18:59,5,20,-15
2024-03-20 08:19:04,6,23,-17
2024-03-20 08:19:09,7,24,-17
2024-03-20 08:19:14,9,24,-15
2024-03-20 08:19:19,13,25,-12
2024-03-20 08:19:24,15,25,-10
2024-03-20 08:19:29,18,26,-8
2024-03-20 08:19:34,18,28,-10
2024-03-20 08:19:39,21,28,-7
2024-03-20 08:19:44,23,28,-5
2024-03-20 08:19:49,29,28,1
2024-03-20 08:19:54,29,29,0
2024-03-20 08:19:59,29,31,-2
2024-03-20 08:20:04,29,38,-9
2024-03-20 08:20:09,29,39,-10
2024-03-20 08:20:14,29,41,-12
2024-03-20 08:20:19,30,44,-14
2024-03-20 08:20:24,34,44,-10
2024-03-20 08:20:29,34,47,-13
2024-03-20 08:20:35,34,49,-15
2024-03-20 08:20:40,35,51,-16
2024-03-20 08:20:45,36,51,-15
2024-03-20 08:20:50,39,53,-14
2024-03-20 08:20:55,39,53,-14
2024-03-20 08:21:00,39,53,-14
2024-03-20 08:21:05,40,55,-15
2024-03-20 08:21:10,42,55,-13
2024-03-20 08:21:15,47,55,-8
2024-03-20 08:21:20,50,55,-5
2024-03-20 08:21:25,51,56,-5
2024-03-20 08:21:30,56,59,-3
2024-03-20 08:21:35,58,61,-3
2024-03-20 08:21:40,58,64,-6
2024-03-20 08:21:45,61,67,-6
2024-03-20 08:21:50,62,68,-6
2024-03-20 08:21:55,63,71,-8
2024-03-20 08:22:00,67,75,-8
2024-03-20 08:22:05,69,80,-11
2024-03-20 08:22:10,70,82,-12
2024-03-20 08:22:15,71,86,-15
2024-03-20 08:22:20,71,88,-17
2024-03-20 08:22:25,73,93,-20
2024-03-20 08:22:30,73,96,-23
2024-03-20 08:22:35,73,97,-24
2024-03-20 08:22:40,75,97,-22
2024-03-20 08:22:45,75,99,-24
2024-03-20 08:22:50,76,100,-24
2024-03-20 08:22:56,79,102,-23
2024-03-20 08:23:01,80,108,-28
2024-03-20 08:23:06,80,111,-31
2024-03-20 08:23:11,81,113,-32
2024-03-20 08:23:16,83,117,-34
2024-03-20 08:23:21,86,119,-33
2024-03-20 08:23:26,88,125,-37
2024-03-20 08:23:31,89,128,-39
2024-03-20 08:23:36,93,135,-42
2024-03-20 08:23:41,93,139,-46
2024-03-20 08:23:46,94,139,-45
2024-03-20 08:23:51,97,139,-42
2024-03-20 08:23:56,99,139,-40
2024-03-20 08:24:01,105,140,-35
2024-03-20 08:24:06,108,141,-33
2024-03-20 08:24:11,112,142,-30
2024-03-20 08:24:16,116,143,-27
2024-03-20 08:24:21,118,145,-27
2024-03-20 08:24:26,122,145,-23
2024-03-20 08:24:31,124,146,-22
2024-03-20 08:24:36,125,151,-26
2024-03-20 08:24:41,125,155,-30
2024-03-20 08:24:46,125,157,-32
2024-03-20 08:24:51,126,159,-33
2024-03-20 08:24:56,128,162,-34
2024-03-20 08:25:02,130,165,-35
2024-03-20 08:25:07,130,169,-39
2024-03-20 08:25:12,131,171,-40
2024-03-20 08:25:17,135,172,-37
2024-03-20 08:25:22,140,173,-33
2024-03-20 08:25:27,142,173,-31
2024-03-20 08:25:32,142,173,-31
2024-03-20 08:25:37,142,173,-31
2024-03-20 08:25:42,145,176,-31
2024-03-20 08:25:47,145,176,-31
2024-03-20 08:25:52,146,179,-33
2024-03-20 08:25:57,148,180,-32
2024-03-20 08:26:02,148,180,-32
2024-03-20 08:26:46,0,2,-2
2024-03-20 08:26:51,3,5,-2
2024-03-20 08:26:56,6,5,1
2024-03-20 08:27:01,6,5,1
2024-03-20 08:27:06,7,10,-3
2024-03-20 08:27:11,9,14,-5
2024-03-20 08:27:16,9,14,-5
2024-03-20 08:27:21,9,15,-6
2024-03-20 08:27:26,16,17,-1
2024-03-20 08:27:31,18,18,0
2024-03-20 08:27:36,19,20,-1
2024-03-20 08:27:41,20,21,-1
2024-03-20 08:27:46,20,21,-1
2024-03-20 08:27:51,20,22,-2
2024-03-20 08:27:56,20,24,-4
2024-03-20 08:28:01,20,26,-6
2024-03-20 08:28:06,20,27,-7
