Time,People In,People Out,People Inside
2024-03-19 21:12:54,2,2,0
2024-03-19 21:12:59,4,4,0
2024-03-19 21:13:04,5,4,1
2024-03-19 21:13:09,6,7,-1
2024-03-19 21:13:14,6,10,-4
2024-03-19 21:13:20,8,10,-2
2024-03-19 21:13:25,9,11,-2
2024-03-19 21:13:30,9,12,-3
2024-03-19 21:13:35,10,12,-2
2024-03-19 21:13:40,11,13,-2
2024-03-19 21:13:45,12,14,-2
2024-03-19 21:13:50,14,14,0
2024-03-19 21:13:55,16,15,1
2024-03-19 21:14:00,18,16,2
2024-03-19 21:14:05,18,17,1
2024-03-19 21:14:10,18,18,0
2024-03-19 21:14:15,19,19,0
2024-03-19 21:14:20,19,20,-1
2024-03-19 21:14:25,19,23,-4
2024-03-19 21:14:30,22,24,-2
2024-03-19 21:14:35,27,26,1
2024-03-19 21:14:40,30,27,3
2024-03-19 21:14:45,30,27,3
2024-03-19 21:14:50,30,28,2
2024-03-19 21:14:55,30,28,2
2024-03-19 21:15:00,30,28,2
2024-03-19 21:15:05,32,33,-1
2024-03-19 21:15:10,33,33,0
2024-03-19 21:15:15,33,33,0
2024-03-19 21:15:20,33,33,0
2024-03-19 21:15:25,36,34,2
2024-03-19 21:15:31,38,35,3
2024-03-19 21:15:36,38,35,3
2024-03-19 21:15:41,38,35,3
2024-03-19 21:15:46,38,35,3
2024-03-19 21:15:51,39,36,3
2024-03-19 21:15:56,39,38,1
2024-03-19 21:16:01,39,38,1
2024-03-19 21:16:06,41,42,-1
2024-03-19 21:16:11,41,43,-2
2024-03-19 21:16:16,43,45,-2
2024-03-19 21:16:21,45,50,-5
2024-03-19 21:16:26,45,51,-6
2024-03-19 21:16:31,48,53,-5
2024-03-19 21:16:36,50,54,-4
2024-03-19 21:16:41,51,55,-4
2024-03-19 21:16:46,52,55,-3
2024-03-19 21:16:51,54,56,-2
2024-03-19 21:16:56,54,56,-2
2024-03-19 21:17:01,55,56,-1
2024-03-19 21:17:06,56,57,-1
2024-03-19 21:17:11,56,59,-3
2024-03-19 21:17:16,58,60,-2
2024-03-19 21:17:21,59,64,-5
2024-03-19 21:17:26,60,64,-4
2024-03-19 21:17:31,62,65,-3
2024-03-19 21:17:36,63,67,-4
2024-03-19 21:17:41,63,71,-8
2024-03-19 21:17:46,63,71,-8
2024-03-19 21:17:51,65,72,-7
2024-03-19 21:17:57,65,74,-9
2024-03-19 21:18:02,65,74,-9
2024-03-19 21:18:07,65,74,-9
2024-03-19 21:18:12,65,74,-9
2024-03-19 21:18:17,69,76,-7
2024-03-19 21:18:22,70,77,-7
2024-03-19 21:18:27,71,78,-7
2024-03-19 21:18:32,71,79,-8
2024-03-19 21:18:37,72,79,-7
2024-03-19 21:18:42,75,81,-6
2024-03-19 21:18:47,75,81,-6
2024-03-19 21:18:52,75,82,-7
2024-03-19 21:18:57,77,82,-5
2024-03-19 21:19:02,78,83,-5
2024-03-19 21:19:07,80,85,-5
2024-03-19 21:19:12,82,87,-5
2024-03-19 21:19:17,83,89,-6
2024-03-19 21:19:22,83,89,-6
2024-03-19 21:19:27,85,91,-6
2024-03-19 21:19:32,85,92,-7
2024-03-19 21:19:38,87,92,-5
2024-03-19 21:19:43,89,93,-4
2024-03-19 21:19:48,91,93,-2
2024-03-19 21:19:53,94,93,1
2024-03-19 21:19:58,97,96,1
2024-03-19 21:20:03,98,103,-5
2024-03-19 21:20:08,103,107,-4
2024-03-19 21:20:13,103,107,-4
2024-03-19 21:20:18,104,108,-4
2024-03-19 21:20:23,106,109,-3
2024-03-19 21:20:28,107,114,-7
2024-03-19 21:20:33,113,117,-4
2024-03-19 21:20:38,116,120,-4
2024-03-19 21:20:43,118,123,-5
2024-03-19 21:20:48,118,124,-6
2024-03-19 21:20:53,118,124,-6
2024-03-19 21:20:58,118,125,-7
2024-03-19 21:21:04,118,125,-7
2024-03-19 21:21:09,119,125,-6
2024-03-19 21:21:14,121,128,-7
2024-03-19 21:21:19,121,128,-7
2024-03-19 21:21:24,121,129,-8
2024-03-19 21:21:29,121,130,-9
2024-03-19 21:21:34,121,131,-10
2024-03-19 21:21:39,123,135,-12
2024-03-19 21:21:44,124,136,-12
2024-03-19 21:21:49,124,136,-12
2024-03-19 21:21:54,124,136,-12
2024-03-19 21:21:59,124,136,-12
2024-03-19 21:22:04,125,137,-12
2024-03-19 21:22:09,126,138,-12
2024-03-19 21:22:14,126,138,-12
2024-03-19 21:22:19,131,141,-10
2024-03-19 21:22:24,132,143,-11
2024-03-19 21:22:29,132,143,-11
2024-03-19 21:22:34,133,145,-12
2024-03-19 21:22:39,138,147,-9
2024-03-19 21:22:44,140,147,-7
2024-03-19 21:22:49,142,147,-5
2024-03-19 21:22:54,142,148,-6
2024-03-19 21:22:59,142,149,-7
2024-03-19 21:23:04,143,150,-7
2024-03-19 21:23:09,144,150,-6
2024-03-19 21:23:14,144,152,-8
2024-03-19 21:23:19,145,154,-9
2024-03-19 21:23:24,147,157,-10
2024-03-19 21:23:30,151,158,-7
2024-03-19 21:23:35,152,158,-6
2024-03-19 21:23:40,152,158,-6
2024-03-19 21:23:45,152,158,-6
2024-03-19 21:23:50,152,158,-6
2024-03-19 21:23:55,153,159,-6
2024-03-19 21:24:00,153,161,-8
2024-03-19 21:24:05,153,161,-8
2024-03-19 21:24:10,154,161,-7
2024-03-19 21:24:15,154,161,-7
2024-03-19 21:24:20,155,161,-6
2024-03-19 21:24:25,157,161,-4
2024-03-19 21:24:30,158,162,-4
2024-03-19 21:24:35,159,164,-5
2024-03-19 21:24:40,160,169,-9
2024-03-19 21:24:45,161,172,-11
2024-03-19 21:24:50,163,174,-11
